PopulationID,Rank,Code,Country,Capital,Continent,Population,Area (km²),Density (per km²),GrowthRate,WorldPopulationPercentage
120,167,MAC,Macau,Concelho de Macau,Asia,695168,30,23172.2667,1.0125,0.01
121,50,MDG,Madagascar,Antananarivo,Africa,29611714,587041,50.4423,1.0241,0.37
122,62,MWI,Malawi,Lilongwe,Africa,20405317,118484,172.22,1.0259,0.26
123,45,MYS,Malaysia,Kuala Lumpur,Asia,33938221,330803,102.5934,1.0109,0.43
124,174,MDV,Maldives,Malé,Asia,523787,300,1745.9567,1.0045,0.01
125,59,MLI,Mali,Bamako,Africa,22593590,1240192,18.2178,1.0314,0.28
126,173,MLT,Malta,Valletta,Europe,533286,316,1687.6139,1.0124,0.01
127,215,MHL,Marshall Islands,Majuro,Oceania,41569,181,229.663,0.9886,0.0
128,180,MTQ,Martinique,Fort-de-France,North America,367507,1128,325.8041,0.9965,0.0
129,126,MRT,Mauritania,Nouakchott,Africa,4736139,1030700,4.5951,1.0263,0.06
130,157,MUS,Mauritius,Port Louis,Africa,1299469,2040,636.9946,1.0004,0.02
131,182,MYT,Mayotte,Mamoudzou,Africa,326101,374,871.9278,1.0319,0.0
132,10,MEX,Mexico,Mexico City,North America,127504125,1964375,64.9082,1.0063,1.6
133,194,FSM,Micronesia,Palikir,Oceania,114164,702,162.6268,1.0091,0.0
134,135,MDA,Moldova,Chisinau,Europe,3272996,33846,96.7026,1.0691,0.04
135,217,MCO,Monaco,Monaco,Europe,36469,2,18234.5,0.9941,0.0
136,134,MNG,Mongolia,Ulaanbaatar,Asia,3398366,1564110,2.1727,1.0151,0.04
137,169,MNE,Montenegro,Podgorica,Europe,627082,13812,45.4012,0.9988,0.01
138,230,MSR,Montserrat,Brades,North America,4390,102,43.0392,0.9939,0.0
139,40,MAR,Morocco,Rabat,Africa,37457971,446550,83.883,1.0103,0.47
140,48,MOZ,Mozambique,Maputo,Africa,32969517,801590,41.1302,1.0278,0.41
141,26,MMR,Myanmar,Nay Pyi Taw,Asia,54179306,676578,80.0784,1.0071,0.68
142,145,NAM,Namibia,Windhoek,Africa,2567012,825615,3.1092,1.0146,0.03
143,225,NRU,Nauru,Yaren,Oceania,12668,21,603.2381,1.0125,0.0
144,49,NPL,Nepal,Kathmandu,Asia,30547580,147181,207.5511,1.0171,0.38
145,71,NLD,Netherlands,Amsterdam,Europe,17564014,41850,419.6897,1.0036,0.22
146,185,NCL,New Caledonia,Nouméa,Oceania,289950,18575,15.6097,1.0075,0.0
147,123,NZL,New Zealand,Wellington,Oceania,5185288,270467,19.1716,1.0108,0.07
148,106,NIC,Nicaragua,Managua,North America,6948392,130373,53.2962,1.0143,0.09
149,54,NER,Niger,Niamey,Africa,26207977,1267000,20.6851,1.0378,0.33
150,6,NGA,Nigeria,Abuja,Africa,218541212,923768,236.5759,1.0241,2.74
151,232,NIU,Niue,Alofi,Oceania,1934,260,7.4385,0.9985,0.0
152,56,PRK,North Korea,Pyongyang,Asia,26069416,120538,216.2755,1.0038,0.33
153,150,MKD,North Macedonia,Skopje,Europe,2093599,25713,81.4218,0.9954,0.03
154,210,NFK,Northern Mariana Islands,Saipan,Oceania,49551,464,106.7909,1.0014,0.0
155,120,NOR,Norway,Oslo,Europe,5434319,323802,16.7828,1.0058,0.07
156,127,OMN,Oman,Muscat,Asia,4576298,309500,14.7861,1.0123,0.06
157,5,PAK,Pakistan,Islamabad,Asia,235824862,881912,267.4018,1.0191,2.96
158,222,PLW,Palau,Ngerulmud,Oceania,18055,459,39.3355,1.0017,0.0
159,122,PSE,Palestine,Ramallah,Asia,5250072,6220,844.063,1.0227,0.07
160,128,PAN,Panama,Panama City,North America,4408581,75417,58.4561,1.0132,0.06
161,93,PNG,Papua New Guinea,Port Moresby,Oceania,10142619,462840,21.9139,1.0194,0.13
162,109,PRY,Paraguay,Asunción,South America,6780744,406752,16.6705,1.0115,0.09
163,44,PER,Peru,Lima,South America,34049588,1285216,26.4933,1.0099,0.43
164,13,PHL,Philippines,Manila,Asia,115559009,342353,337.5434,1.0147,1.45
165,37,POL,Poland,Warsaw,Europe,39857145,312679,127.4698,1.0404,0.5
166,92,PRT,Portugal,Lisbon,Europe,10270865,92090,111.5307,0.9981,0.13
167,136,PRI,Puerto Rico,San Juan,North America,3252407,8870,366.675,0.9989,0.04
168,143,QAT,Qatar,Doha,Asia,2695122,11586,232.6189,1.0026,0.03
169,114,COG,Republic of the Congo,Brazzaville,Africa,5970424,342000,17.4574,1.0231,0.07
170,161,REU,Reunion,Saint-Denis,Africa,974052,2511,387.914,1.0082,0.01
171,64,ROU,Romania,Bucharest,Europe,19659267,238391,82.4665,1.0171,0.25
172,9,RUS,Russia,Moscow,Europe,144713314,17098242,8.4636,0.9973,1.81
173,76,RWA,Rwanda,Kigali,Africa,13776698,26338,523.0731,1.0234,0.17
174,228,BLM,Saint Barthelemy,Gustavia,North America,10967,21,522.2381,1.0098,0.0
175,211,KNA,Saint Kitts and Nevis,Basseterre,North America,47657,261,182.5939,1.0011,0.0
176,190,LCA,Saint Lucia,Castries,North America,179857,616,291.9756,1.0011,0.0
177,220,MAF,Saint Martin,Marigot,North America,31791,53,599.8302,0.9951,0.0
178,229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,5862,242,24.2231,0.9964,0.0
179,199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,103948,389,267.2185,0.9963,0.0
180,188,WSM,Samoa,Apia,Oceania,222382,2842,78.2484,1.0165,0.0
181,218,SMR,San Marino,San Marino,Europe,33660,61,551.8033,0.9975,0.0
182,187,STP,Sao Tome and Principe,São Tomé,Africa,227380,964,235.8714,1.0192,0.0
183,41,SAU,Saudi Arabia,Riyadh,Asia,36408820,2149690,16.9368,1.0128,0.46
184,72,SEN,Senegal,Dakar,Africa,17316449,196722,88.025,1.0261,0.22
185,105,SRB,Serbia,Belgrade,Europe,7221365,88361,81.7257,0.9897,0.09
186,196,SYC,Seychelles,Victoria,Africa,107118,452,236.9867,1.0061,0.0
187,102,SLE,Sierra Leone,Freetown,Africa,8605718,71740,119.957,1.022,0.11
188,113,SGP,Singapore,Singapore,Asia,5975689,710,8416.4634,1.0058,0.07
189,214,SXM,Sint Maarten,Philipsburg,North America,44175,34,1299.2647,1.003,0.0
190,116,SVK,Slovakia,Bratislava,Europe,5643453,49037,115.0856,1.0359,0.07
191,148,SVN,Slovenia,Ljubljana,Europe,2119844,20273,104.5649,1.0002,0.03
192,166,SLB,Solomon Islands,Honiara,Oceania,724273,28896,25.0648,1.0232,0.01
193,70,SOM,Somalia,Mogadishu,Africa,17597511,637657,27.5971,1.0312,0.22
194,24,ZAF,South Africa,Pretoria,Africa,59893885,1221037,49.0517,1.0084,0.75
195,29,KOR,South Korea,Seoul,Asia,51815810,100210,517.0722,0.9997,0.65
