ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
156,29,34,3,327,55,60,345,28,55,60,15520.0,0.0887920927940988
157,29,34,3,327,55,61,343,28,55,61,15520.0,0.0887920927940988
158,29,34,3,327,55,61,344,28,55,61,15520.0,0.0887920927940988
159,29,34,3,327,55,61,345,28,55,61,15520.0,0.0887920927940988
160,29,34,3,327,55,62,343,28,55,62,15520.0,0.0887920927940988
161,29,34,3,327,55,62,344,28,55,62,15520.0,0.0887920927940988
162,29,34,3,327,55,62,345,28,55,62,15520.0,0.0887920927940988
163,29,34,3,327,55,63,343,28,55,63,15520.0,0.0887920927940988
164,29,34,3,327,55,63,344,28,55,63,15520.0,0.0887920927940988
165,29,34,3,327,55,63,345,28,55,63,15520.0,0.0887920927940988
166,29,34,3,327,56,59,343,28,56,59,15520.0,0.0887920927940988
167,29,34,3,327,56,59,344,28,56,59,15520.0,0.0887920927940988
168,29,34,3,327,56,59,345,28,56,59,15520.0,0.0887920927940988
169,29,34,3,327,56,60,343,28,56,60,15520.0,0.0887920927940988
170,29,34,3,327,56,60,344,28,56,60,15520.0,0.0887920927940988
171,29,34,3,327,56,60,345,28,56,60,15520.0,0.0887920927940988
172,29,34,3,327,56,61,343,28,56,61,15520.0,0.0887920927940988
173,29,34,3,327,56,61,344,28,56,61,15520.0,0.0887920927940988
174,29,34,3,327,56,61,345,28,56,61,15520.0,0.0887920927940988
175,29,34,3,327,56,62,343,28,56,62,15520.0,0.0887920927940988
176,29,34,3,327,56,62,344,28,56,62,15520.0,0.0887920927940988
177,29,34,3,327,56,62,345,28,56,62,15520.0,0.0887920927940988
178,29,34,3,327,56,63,343,28,56,63,15520.0,0.0887920927940988
179,29,34,3,327,56,63,344,28,56,63,15520.0,0.0887920927940988
180,29,34,3,327,56,63,345,28,56,63,15520.0,0.0887920927940988
181,29,39,2,322,53,59,340,28,53,59,4079.0,0.0433359820092885
182,29,39,2,322,53,59,341,28,53,59,4079.0,0.0433359820092885
183,29,39,2,322,53,59,342,28,53,59,4079.0,0.0433359820092885
184,29,39,2,322,53,60,340,28,53,60,4079.0,0.0433359820092885
185,29,39,2,322,53,60,341,28,53,60,4079.0,0.0433359820092885
186,29,39,2,322,53,60,342,28,53,60,4079.0,0.0433359820092885
187,29,39,2,322,53,61,340,28,53,61,4079.0,0.0433359820092885
188,29,39,2,322,53,61,341,28,53,61,4079.0,0.0433359820092885
189,29,39,2,322,53,61,342,28,53,61,4079.0,0.0433359820092885
190,29,39,2,322,53,62,340,28,53,62,4079.0,0.0433359820092885
191,29,39,2,322,53,62,341,28,53,62,4079.0,0.0433359820092885
192,29,39,2,322,53,62,342,28,53,62,4079.0,0.0433359820092885
193,29,39,2,322,53,63,340,28,53,63,4079.0,0.0433359820092885
194,29,39,2,322,53,63,341,28,53,63,4079.0,0.0433359820092885
195,29,39,2,322,53,63,342,28,53,63,4079.0,0.0433359820092885
196,29,39,2,322,54,59,340,28,54,59,4079.0,0.0433359820092885
197,29,39,2,322,54,59,341,28,54,59,4079.0,0.0433359820092885
198,29,39,2,322,54,59,342,28,54,59,4079.0,0.0433359820092885
199,29,39,2,322,54,60,340,28,54,60,4079.0,0.0433359820092885
200,29,39,2,322,54,60,341,28,54,60,4079.0,0.0433359820092885
201,29,39,2,322,54,60,342,28,54,60,4079.0,0.0433359820092885
202,29,39,2,322,54,61,340,28,54,61,4079.0,0.0433359820092885
203,29,39,2,322,54,61,341,28,54,61,4079.0,0.0433359820092885
204,29,39,2,322,54,61,342,28,54,61,4079.0,0.0433359820092885
205,29,39,2,322,54,62,340,28,54,62,4079.0,0.0433359820092885
206,29,39,2,322,54,62,341,28,54,62,4079.0,0.0433359820092885
207,29,39,2,322,54,62,342,28,54,62,4079.0,0.0433359820092885
208,29,39,2,322,54,63,340,28,54,63,4079.0,0.0433359820092885
209,29,39,2,322,54,63,341,28,54,63,4079.0,0.0433359820092885
210,29,39,2,322,54,63,342,28,54,63,4079.0,0.0433359820092885
211,29,39,2,322,55,59,340,28,55,59,4079.0,0.0433359820092885
